id,created_at,favorite_count,retweet_count,text
1606892394896822272,2022-12-25 05:59:36+00:00,38,2,@trevken Same to you 🎄
1606877122316111872,2022-12-25 04:58:54+00:00,22,0,@trevken Thank you
1595038534897139712,2022-11-22 12:56:35+00:00,5777,717,"This year’s Bezos Day 1 Families Fund grants go to 40 incredible groups working to end homelessness in the U.S. In 5 years, we’ve given more than $500 million to 167 orgs – helping expand their support of families in need. Honored to support these groups. https://t.co/8fulJLNrkZ https://t.co/17dX56oApm"
1591558804960854017,2022-11-12 22:29:23+00:00,8849,1258,"We’ve just announced a new Courage and Civility award recipient —  @DollyParton, who leads with her heart, and will put this $100 million award to great use helping so many people. She joins prior awardees, @VanJones68 and @Chefjoseandres.  Congrats, Dolly! https://t.co/dzTuoGVp3G"
1582517044020273152,2022-10-18 23:40:39+00:00,8669,1395,"Yep, the probabilities in this economy tell you to batten down the hatches. https://t.co/SwldRdms5v"
1580286321242697729,2022-10-12 19:56:33+00:00,5651,569,"The Hutch is going to do incredible things with this.

https://t.co/m3BKYhKwr9"
1579252993903710209,2022-10-09 23:30:29+00:00,50033,3881,Invention. You can still improve even an axe! Damn. https://t.co/9vM9Nq3L6i
1577732519856082944,2022-10-05 18:48:40+00:00,1369,165,Go @JSalke and @AmazonStudios! https://t.co/ycGoNE2Zne
1572348625459576832,2022-09-20 22:14:59+00:00,2418,267,https://t.co/xdw8Dod79l
1568669073608966145,2022-09-10 18:33:46+00:00,2685,380,https://t.co/DHKpHZnzzH
1568422876071759873,2022-09-10 02:15:28+00:00,126,10,@erikprinz0 100%
1568420373422837760,2022-09-10 02:05:31+00:00,4147,444,"If you want unusual results, you’re going to need some missionary, brilliant “organizational misfits” on your team.

https://t.co/yKG7hL97e3"
1567943098029981696,2022-09-08 18:29:00+00:00,23370,1270,I can think of no one who better personified duty. My deepest condolences to all the Brits mourning her passing today. https://t.co/rCkagaglET
1567918581614247937,2022-09-08 16:51:35+00:00,74442,10432,This is someone supposedly working to make the world better? I don’t think so. Wow. https://t.co/2zoi6CdFMq
1566196928064503808,2022-09-03 22:50:20+00:00,516,9,@bearmccreary Your music is a huge part of what makes this show so amazing. Thank you!
1566194037991915520,2022-09-03 22:38:51+00:00,12060,769,"Go Middle-earth!
https://t.co/SbJrAJ05mw"
1566084636043780096,2022-09-03 15:24:08+00:00,2330,177,Good point. Thank you. (And very excited about what you’re working on.) https://t.co/yiCrS8uC3p
1564006036037521408,2022-08-28 21:44:31+00:00,206789,9051,My first job. And still the same great burger. Happy Sunday! https://t.co/3slx6dHUVa
1556689455905267712,2022-08-08 17:11:02+00:00,9503,1155,Leaders can only get so far ahead… https://t.co/j64lhNjw0F
1556029528501211136,2022-08-06 21:28:43+00:00,11174,485,"My friend and a friend to many, Tom Alberg, has passed away. He was an early investor in Amazon and served on our board for 23 years. Tom was a visionary and also just a wonderful, good man. I was so lucky to have you in my life, Tom. We will all miss you dearly. https://t.co/JsRvxt8rI0"
1550559511563276288,2022-07-22 19:12:50+00:00,6326,767,New trailer released at Comic-Con today #TheRingsofPower https://t.co/cQ4IQ6hfwf
1550487420767940608,2022-07-22 14:26:22+00:00,4723,431,Let’s go! https://t.co/GVRqtO2JQV
1547607992316542976,2022-07-14 15:44:33+00:00,10170,1375,First full-length trailer #TheRingsOfPower https://t.co/yq6OrxfhmG
1543409762867494912,2022-07-03 01:42:17+00:00,188538,31052,Ouch. Inflation is far too important a problem for the White House to keep making statements like this. It’s either straight ahead misdirection or a deep misunderstanding of basic market dynamics. https://t.co/XgKfEICZpk
1538991549161148416,2022-06-20 21:05:53+00:00,209,8,@YONeal1 Nice! Happy Father’s Day to your fathers too!!
1538990254262059008,2022-06-20 21:00:44+00:00,312,12,@LanguageIgbo Thank you!
1538658321002995712,2022-06-19 23:01:45+00:00,68434,1698,"I love you, Dad. https://t.co/GSqHUGlgt8"
1535822260333793280,2022-06-12 03:12:15+00:00,220,13,"@stewartbrand Stewart, I very much hope the future world gets many more “hucksters” like you. We will be better for it!"
1531745211084324864,2022-05-31 21:11:31+00:00,9694,854,Incredible https://t.co/mahsnjatRi
1531011831048704001,2022-05-29 20:37:20+00:00,285,29,"@AJDelgado13 Since I have a Cuban dad, am I a Legacy American or is that too soon? Are my kids? The framework doesn’t make sense."
1531010609906524163,2022-05-29 20:32:28+00:00,221,10,"@AJDelgado13 Yes, a strong scent. “Non Legacy American” is so intellectually bankrupt."
1529840331029499904,2022-05-26 15:02:12+00:00,11242,846,What a truly beautiful observation… https://t.co/KvYrExtd39
1528922782007930880,2022-05-24 02:16:11+00:00,6860,717,Thanks for the history shout out here. Many twists and turns and failures and successes in those 23 years… https://t.co/Tx0OokknZ4
1528920054506541056,2022-05-24 02:05:21+00:00,2944,247,https://t.co/5GvLk3mppV
1527006451960623113,2022-05-18 19:21:23+00:00,2589,65,"@kingston_elenwo No, not really like that. He (Rob Hof) was just reporting accurately the general Wall Street sentiment. In fact, same reporter wrote a follow up ten years later. That kind of follow up is pretty rare in my experience and commendable."
1527003895393812480,2022-05-18 19:11:13+00:00,117889,12649,"I have this old 2006 BusinessWeek framed as a reminder. The “risky bet” that Wall Street disliked was AWS, which generated revenue of more than $62 billion last year. https://t.co/ccF0nCOkhu"
1526991097985122304,2022-05-18 18:20:22+00:00,13990,1311,@dao2wei @BillyM2k Thank you. I’ve been working hard on my ass.
1526988428881141761,2022-05-18 18:09:46+00:00,7236,440,@BillyM2k Seen you refer to yourself as a sh*tposter but maybe you’re mostly just a wiseposter.
1526584024780505089,2022-05-17 15:22:48+00:00,396,7,@avi_gul Agree with you it’s sad
1526574968158314496,2022-05-17 14:46:49+00:00,21929,1621,If you’re looking for some scary bedtime reading… https://t.co/wIPasl6mPt
1526331576258154496,2022-05-16 22:39:40+00:00,2536,149,@JamesMelville Liked because I believe you’re 100% right
1526239684392669184,2022-05-16 16:34:31+00:00,32489,3117,"their best to add another $3.5 TRILLION to federal spending. They failed, but if they had succeeded, inflation would be even higher than it is today, and inflation today is at a 40 year high."
