angry0,box0,disgust0,fear0,happy0,neutral0,sad0,surprise0
0.04,"[809, 111, 127, 166]",0.0,0.02,0.01,0.03,0.0,0.91
0.05,"[806, 107, 144, 198]",0.0,0.2,0.05,0.02,0.0,0.67
0.09,"[815, 112, 131, 182]",0.0,0.1,0.03,0.01,0.0,0.77
0.14,"[809, 104, 146, 205]",0.0,0.15,0.21,0.02,0.0,0.49
0.1,"[809, 104, 145, 203]",0.0,0.1,0.13,0.01,0.0,0.66
0.02,"[812, 111, 136, 193]",0.0,0.05,0.04,0.01,0.0,0.87
0.06,"[811, 112, 136, 191]",0.0,0.12,0.06,0.0,0.0,0.75
0.03,"[813, 114, 137, 191]",0.0,0.09,0.04,0.0,0.0,0.84
0.02,"[814, 116, 136, 192]",0.0,0.16,0.04,0.0,0.0,0.78
0.02,"[814, 116, 136, 192]",0.0,0.13,0.06,0.0,0.0,0.8
0.02,"[807, 125, 139, 189]",0.0,0.04,0.12,0.0,0.0,0.82
0.02,"[807, 125, 139, 188]",0.0,0.05,0.18,0.0,0.0,0.74
0.02,"[807, 125, 139, 189]",0.0,0.03,0.12,0.0,0.0,0.82
0.02,"[802, 121, 143, 198]",0.0,0.04,0.05,0.0,0.0,0.89
0.0,"[801, 118, 147, 197]",0.0,0.04,0.04,0.0,0.0,0.92
0.0,"[791, 120, 153, 200]",0.0,0.04,0.01,0.0,0.0,0.96
0.0,"[774, 111, 166, 228]",0.0,0.03,0.04,0.0,0.0,0.93
0.0,"[771, 132, 155, 191]",0.0,0.01,0.01,0.0,0.0,0.99
0.0,"[748, 116, 177, 228]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[747, 116, 177, 229]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[735, 115, 185, 235]",0.0,0.0,0.0,0.0,0.0,0.99
0.0,"[719, 105, 198, 262]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[700, 120, 201, 253]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[675, 107, 217, 287]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[675, 108, 217, 286]",0.0,0.02,0.0,0.0,0.0,0.98
0.0,"[647, 110, 235, 309]",0.0,0.07,0.02,0.0,0.0,0.9
0.0,"[633, 112, 246, 318]",0.0,0.03,0.01,0.0,0.0,0.96
0.0,"[628, 115, 254, 327]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[624, 118, 263, 337]",0.0,0.01,0.01,0.0,0.0,0.97
0.0,"[623, 118, 263, 337]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[618, 120, 265, 336]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[613, 124, 272, 347]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[612, 128, 271, 349]",0.0,0.02,0.02,0.0,0.0,0.96
0.0,"[619, 142, 264, 337]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[616, 141, 267, 341]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[616, 146, 266, 343]",0.0,0.01,0.01,0.0,0.0,0.98
0.0,"[600, 140, 276, 361]",0.0,0.11,0.03,0.0,0.0,0.85
0.0,"[620, 155, 256, 320]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[593, 142, 275, 362]",0.0,0.16,0.03,0.0,0.0,0.81
0.0,"[593, 142, 275, 362]",0.0,0.17,0.03,0.0,0.0,0.8
0.0,"[595, 143, 270, 350]",0.0,0.08,0.02,0.0,0.0,0.9
0.0,"[591, 137, 270, 349]",0.0,0.1,0.02,0.0,0.0,0.88
0.0,"[589, 128, 271, 352]",0.0,0.07,0.03,0.0,0.0,0.9
0.0,"[584, 112, 274, 351]",0.0,0.07,0.02,0.0,0.0,0.91
0.0,"[585, 112, 272, 350]",0.0,0.06,0.02,0.0,0.0,0.91
0.0,"[583, 111, 275, 353]",0.0,0.11,0.03,0.0,0.0,0.86
0.0,"[591, 112, 268, 342]",0.0,0.03,0.04,0.0,0.0,0.94
0.0,"[590, 97, 272, 352]",0.0,0.06,0.07,0.0,0.0,0.86
0.0,"[613, 98, 264, 339]",0.0,0.02,0.01,0.0,0.0,0.97
0.0,"[613, 98, 264, 339]",0.0,0.01,0.02,0.0,0.0,0.97
